
TIME STEP:
160 = 0.2ms

VOLTAGE STEP:
CH1:  32 = 0.1V
CH2:  32 = 0.1V

N	CH1	CH2
521	79	135
522	78	135
523	78	135
524	79	135
525	78	135
526	79	135
527	78	135
528	78	135
529	78	135
530	78	135
531	78	135
532	78	135
533	78	135
534	78	135
535	78	135
536	79	135
537	78	135
538	79	135
539	78	135
540	78	135
541	78	135
542	79	135
543	78	135
544	78	135
545	78	135
546	78	135
547	78	135
548	78	135
549	78	135
550	78	135
551	78	135
552	78	135
553	78	135
554	78	135
555	78	135
556	78	135
557	78	135
558	79	135
559	78	135
560	78	135
561	77	134
562	78	135
563	78	135
564	78	135
565	78	135
566	78	135
567	78	135
568	78	135
569	78	134
570	79	135
571	78	135
572	78	135
573	79	135
574	78	135
575	78	135
576	78	135
577	78	135
578	78	135
579	78	135
580	78	135
581	78	135
582	78	135
583	78	135
584	78	135
585	78	135
586	78	135
587	78	135
588	78	135
589	78	135
590	78	135
591	78	135
592	78	135
593	78	135
594	78	135
595	78	135
596	78	135
597	78	135
598	78	135
599	78	135
600	78	135
601	78	135
602	78	135
603	78	135
604	78	135
605	78	135
606	78	135
607	78	135
608	78	135
609	78	135
610	78	135
611	78	135
612	78	135
613	78	135
614	78	135
615	78	135
616	78	135
617	78	135
618	78	135
619	78	134
620	78	135
621	78	135
622	78	135
623	78	135
624	78	135
625	78	135
626	78	135
627	78	135
628	78	135
629	78	135
630	78	135
631	78	135
632	78	135
633	78	135
634	78	135
635	77	134
636	78	135
637	78	135
638	78	135
639	78	134
640	78	135
641	78	135
642	78	135
643	78	135
644	78	135
645	78	135
646	78	135
647	78	135
648	78	135
649	78	135
650	78	135
651	78	135
652	78	135
653	78	135
654	78	134
655	78	135
656	78	135
657	78	135
658	78	135
659	78	135
660	78	135
661	78	135
662	78	135
663	78	135
664	78	135
665	78	135
666	78	135
667	78	135
668	78	135
669	78	135
670	78	135
671	78	135
672	78	135
673	78	135
674	78	135
675	78	135
676	78	135
677	78	135
678	78	135
679	78	135
680	78	135
681	78	135
682	78	135
683	78	135
684	78	135
685	78	135
686	78	135
687	78	135
688	78	135
689	78	135
690	78	135
691	78	135
692	78	134
693	78	135
694	78	135
695	78	135
696	78	135
697	78	135
698	78	135
699	78	135
700	78	135
701	78	135
702	78	135
703	78	134
704	78	134
705	78	135
706	78	135
707	78	135
708	78	135
709	77	134
710	78	135
711	78	135
712	78	135
713	78	135
714	78	135
715	78	135
716	78	134
717	78	135
718	78	135
719	78	135
720	78	135
721	78	134
722	78	135
723	78	135
724	78	135
725	78	135
726	78	135
727	78	135
728	78	135
729	78	135
730	78	135
731	78	135
732	78	135
733	78	135
734	78	135
735	78	134
736	78	135
737	78	135
738	78	134
739	78	135
740	78	134
741	78	135
742	78	134
743	78	135
744	78	134
745	78	134
746	78	135
747	78	135
748	78	134
749	78	135
750	78	135
751	78	134
752	78	134
753	78	135
754	78	135
755	78	135
756	78	135
757	78	134
758	78	135
759	78	135
760	78	135
761	78	135
762	78	134
763	78	134
764	78	135
765	78	135
766	78	135
767	78	135
768	78	134
769	78	135
770	78	135
771	78	134
772	78	134
773	78	135
774	78	135
775	78	135
776	78	134
777	78	135
778	78	135
779	78	135
780	78	135
781	78	134
782	78	135
783	77	134
784	78	135
785	78	135
786	78	135
787	78	135
788	78	135
789	78	135
790	78	134
791	78	135
792	78	135
793	78	134
794	78	135
795	78	135
796	78	135
797	78	134
798	78	134
799	78	135
800	78	135
801	78	135
802	78	135
803	78	135
804	78	135
805	78	135
806	78	135
807	78	135
808	78	135
809	78	135
810	78	135
811	78	134
812	78	134
813	78	135
814	78	135
815	78	135
816	78	134
817	78	135
818	78	134
819	78	135
820	78	135
821	78	134
822	78	135
823	78	135
824	78	135
825	78	134
826	78	134
827	78	134
828	78	135
829	78	134
830	78	135
831	78	134
832	78	134
833	78	135
834	78	134
835	78	135
836	78	134
837	78	135
838	78	135
839	78	134
840	78	134
841	78	134
842	78	134
843	78	135
844	78	134
845	78	134
846	78	135
847	78	135
848	78	135
849	78	135
850	78	135
851	78	134
852	78	134
853	78	134
854	78	134
855	78	135
856	78	134
857	77	134
858	78	134
859	78	134
860	78	135
861	78	135
862	78	134
863	78	135
864	78	135
865	78	135
866	78	134
867	78	134
868	78	135
869	78	135
870	78	135
871	78	134
872	78	135
873	78	134
874	78	134
875	78	134
876	78	135
877	78	134
878	78	134
879	78	135
880	78	134
881	78	134
882	78	134
883	78	135
884	78	135
885	78	135
886	78	135
887	78	135
888	78	135
889	78	134
890	78	134
891	78	135
892	78	135
893	78	134
894	78	135
895	78	135
896	77	134
897	78	134
898	78	135
899	78	135
900	78	135
901	78	134
902	78	135
903	78	135
904	78	134
905	78	134
906	78	134
907	78	134
908	78	135
909	78	135
910	78	135
911	78	134
912	78	135
913	78	135
914	78	134
915	78	135
916	78	135
917	78	135
918	78	135
919	78	135
920	78	134
921	78	135
922	78	134
923	78	134
924	78	135
925	78	135
926	78	135
927	78	134
928	78	135
929	78	135
930	78	134
931	77	134
932	78	135
933	78	135
934	78	134
935	78	135
936	78	135
937	78	135
938	78	135
939	78	135
940	78	135
941	78	135
942	78	134
943	78	134
944	78	135
945	78	135
946	78	135
947	78	134
948	78	135
949	78	135
950	78	134
951	78	135
952	78	135
953	78	135
954	78	134
955	78	134
956	78	135
957	78	135
958	78	134
959	78	134
960	78	134
961	78	135
962	78	135
963	78	135
964	78	134
965	78	135
966	78	135
967	78	135
968	79	134
969	78	135
970	78	135
971	78	134
972	78	135
973	78	134
974	78	135
975	78	134
976	78	134
977	78	135
978	78	134
979	78	135
980	78	134
981	78	134
982	77	134
983	77	135
984	77	134
985	77	134
986	77	135
987	77	134
988	77	134
989	77	134
990	77	134
991	77	135
992	77	134
993	77	134
994	77	134
995	77	134
996	77	134
997	77	135
998	77	135
999	78	134
1000	78	134
1001	79	134
1002	79	135
1003	80	135
1004	80	135
1005	80	134
1006	82	134
1007	82	135
1008	83	134
1009	85	135
1010	85	134
1011	87	135
1012	88	135
1013	89	134
1014	90	134
1015	92	135
1016	93	134
1017	94	134
1018	95	134
1019	97	135
1020	97	134
1021	99	135
1022	100	135
1023	102	135
1024	103	135
1025	104	134
1026	105	134
1027	106	135
1028	107	134
1029	109	135
1030	110	135
1031	111	135
1032	112	135
1033	113	135
1034	114	134
1035	115	135
1036	116	135
1037	117	135
1038	118	134
1039	119	134
1040	121	135
1041	122	135
1042	123	135
1043	124	135
1044	125	134
1045	126	135
1046	127	135
1047	129	135
1048	129	134
1049	131	135
1050	132	135
1051	133	135
1052	134	135
1053	135	135
1054	136	134
1055	137	135
1056	138	135
1057	139	135
1058	139	134
1059	141	135
1060	141	135
1061	141	135
1062	142	135
1063	142	135
1064	143	135
1065	143	135
1066	143	135
1067	143	135
1068	143	135
1069	143	135
1070	142	135
1071	142	135
1072	141	134
1073	141	134
1074	140	135
1075	139	135
1076	138	135
1077	137	135
1078	136	135
1079	134	135
1080	134	135
1081	133	135
1082	132	135
1083	130	135
1084	129	135
1085	127	135
1086	126	135
1087	124	135
1088	122	135
1089	121	134
1090	119	135
1091	117	135
1092	115	135
1093	114	135
1094	112	135
1095	110	134
1096	109	135
1097	107	135
1098	106	135
1099	104	134
1100	102	135
1101	100	134
1102	99	135
1103	97	134
1104	95	135
1105	94	134
1106	92	135
1107	90	134
1108	89	135
1109	87	135
1110	85	135
1111	83	135
1112	82	135
1113	80	135
1114	79	135
1115	77	135
1116	76	134
1117	74	135
1118	73	134
1119	72	135
1120	70	135
1121	69	134
1122	68	135
1123	67	135
1124	65	134
1125	64	135
1126	63	135
1127	62	134
1128	61	134
1129	60	134
1130	59	135
1131	58	134
1132	57	134
1133	57	135
1134	55	134
1135	55	134
1136	54	135
1137	53	134
1138	53	135
1139	52	134
1140	52	135
1141	52	135
1142	51	134
1143	51	135
1144	51	134
1145	51	135
1146	51	135
1147	51	135
1148	52	135
1149	52	135
1150	52	134
1151	53	134
1152	53	135
1153	53	134
1154	55	134
1155	55	135
1156	56	135
1157	57	135
1158	58	135
1159	59	135
1160	60	134
1161	61	135
1162	62	135
1163	63	135
1164	64	135
1165	64	134
1166	65	134
1167	66	135
1168	67	135
1169	68	135
1170	69	135
1171	70	135
1172	71	134
1173	71	134
1174	72	135
1175	73	135
1176	74	134
1177	74	135
1178	75	135
1179	76	135
1180	77	135
1181	77	135
1182	78	135
1183	79	135
1184	79	135
1185	80	135
1186	81	135
1187	82	135
1188	82	135
1189	83	135
1190	84	135
1191	84	135
1192	85	135
1193	86	135
1194	87	135
1195	87	135
1196	88	134
1197	89	134
1198	90	135
1199	90	135
1200	91	134
1201	92	135
1202	92	134
1203	93	134
1204	94	135
1205	94	135
1206	95	134
1207	95	135
1208	96	135
1209	96	135
1210	96	135
1211	96	135
1212	96	135
1213	96	134
1214	96	135
1215	96	135
1216	96	135
1217	96	135
1218	96	135
1219	95	135
1220	95	135
1221	94	134
1222	94	135
1223	94	135
1224	93	134
1225	92	134
1226	91	135
1227	90	134
1228	90	135
1229	90	135
1230	89	135
1231	88	134
1232	87	135
1233	87	135
1234	86	134
1235	85	135
1236	85	135
1237	84	134
1238	83	134
1239	83	134
1240	82	135
1241	82	135
1242	82	135
1243	81	135
1244	81	134
1245	80	135
1246	80	135
1247	79	135
1248	78	135
1249	78	135
1250	77	135
1251	76	135
1252	76	135
1253	75	135
1254	74	134
1255	73	134
1256	72	135
1257	70	135
1258	69	135
1259	67	134
1260	66	135
1261	64	135
1262	63	135
1263	62	135
1264	60	135
1265	58	135
1266	56	135
1267	55	135
1268	53	134
1269	51	134
1270	50	134
1271	48	135
1272	47	134
1273	46	134
1274	45	134
1275	44	135
1276	43	134
1277	42	135
1278	41	134
1279	41	134
1280	41	134
1281	40	134
1282	40	134
1283	40	134
1284	40	135
1285	41	134
1286	41	134
1287	41	134
1288	42	135
1289	42	134
1290	43	135
1291	44	135
1292	45	134
1293	45	134
1294	46	134
1295	47	135
1296	48	134
1297	48	134
1298	49	134
1299	50	135
1300	50	135
1301	50	134
1302	52	135
1303	52	135
1304	53	135
1305	53	135
1306	54	135
1307	54	135
1308	55	135
1309	55	135
1310	56	135
1311	56	135
1312	57	134
1313	58	135
1314	58	134
1315	59	134
1316	60	134
1317	61	134
1318	62	135
1319	63	135
1320	64	135
1321	65	135
1322	67	135
1323	68	135
1324	70	135
1325	71	135
1326	73	135
1327	74	134
1328	76	135
1329	77	135
1330	79	135
1331	81	134
1332	82	134
1333	84	135
1334	86	135
1335	87	134
1336	89	135
1337	91	135
1338	92	135
1339	94	135
1340	94	134
1341	95	135
1342	96	135
1343	97	135
1344	98	135
1345	98	135
1346	99	135
1347	99	135
1348	99	135
1349	100	134
1350	100	134
1351	100	135
1352	100	135
1353	100	135
1354	99	135
1355	99	135
1356	99	135
1357	98	135
1358	98	135
1359	98	135
1360	97	135
1361	97	135
1362	97	134
1363	97	135
1364	96	134
1365	96	135
1366	95	135
1367	95	135
1368	95	135
1369	95	135
1370	94	135
1371	94	135
1372	94	135
1373	94	135
1374	93	135
1375	92	134
1376	92	135
1377	92	135
1378	91	135
1379	91	135
1380	91	135
1381	90	135
1382	89	135
1383	89	135
1384	88	135
1385	87	135
1386	86	135
1387	86	135
1388	85	135
1389	85	135
1390	83	134
1391	83	135
1392	82	135
1393	81	135
1394	81	135
1395	79	135
1396	79	135
1397	78	135
1398	77	135
1399	77	135
1400	76	135
1401	75	135
1402	75	135
1403	74	135
1404	73	135
1405	73	135
1406	73	135
1407	72	135
1408	72	135
1409	71	135
1410	71	134
1411	70	135
1412	70	135
1413	70	135
1414	70	135
1415	70	135
1416	69	135
1417	69	135
1418	68	135
1419	68	135
1420	68	135
1421	67	135
1422	67	135
1423	67	135
1424	66	134
1425	65	135
1426	65	135
1427	64	135
1428	64	135
1429	63	135
1430	62	135
1431	62	135
1432	61	135
1433	60	135
1434	60	135
1435	59	135
1436	58	135
1437	58	135
1438	57	135
1439	56	135
1440	56	135
1441	56	135
1442	55	135
1443	55	135
1444	55	135
1445	55	135
1446	55	135
1447	55	135
1448	55	135
1449	54	135
1450	55	135
1451	55	135
1452	55	135
1453	55	135
1454	56	135
1455	56	135
1456	56	134
1457	57	135
1458	57	135
1459	57	135
1460	58	135
1461	58	135
1462	58	135
1463	59	135
1464	59	135
1465	59	135
1466	60	135
1467	60	135
1468	61	135
1469	61	135
1470	61	135
1471	61	135
1472	61	135
1473	62	135
1474	62	135
1475	62	135
1476	62	135
1477	63	135
1478	63	134
1479	64	135
1480	64	135
1481	65	135
1482	65	135
1483	65	135
1484	66	135
1485	66	135
1486	67	135
1487	67	135
1488	68	135
1489	69	135
1490	70	135
1491	70	135
1492	71	135
1493	72	135
1494	72	135
1495	73	135
1496	74	135
1497	75	135
1498	75	135
1499	77	135
1500	77	135
1501	78	135
1502	79	135
1503	80	135
1504	81	135
1505	82	135
1506	82	135
1507	84	135
1508	85	135
1509	85	135
1510	86	135
1511	87	135
1512	88	135
1513	89	135
1514	90	135
1515	90	135
1516	91	135
1517	92	135
1518	93	135
1519	93	135
1520	94	135
1521	94	135
1522	95	135
1523	94	135
1524	96	135
1525	97	135
1526	97	135
1527	97	135
1528	98	135
1529	99	135
1530	99	135
1531	100	135
1532	100	135
1533	101	135
1534	102	135
1535	102	135
1536	103	135
1537	104	135
1538	105	135
1539	106	135
1540	106	135
1541	107	135
1542	108	135
1543	109	135
1544	110	135
1545	111	135
1546	111	135
1547	112	135
1548	113	135
1549	114	135
1550	115	135
1551	116	135
1552	116	135
1553	117	135
1554	118	135
